Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime
28 Jan 2024,,,,,,,,,,,,,,
All datapoints provided as of end of last active trading day.,,,,,,,,,,,,,,
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,26.60,26.60,26.60,26.60,26/01/2024 09:00,CET,5,133.00,26.60,26/01/2024
2020 BULKERS,BMG9156K1018,2020,Oslo Børs,NOK,143.40,146.90,143.10,146.20,26/01/2024 16:28,CET,121276,17654739.40,146.20,26/01/2024
2CRSI,FR0013341781,AL2SI,Euronext Growth Paris,EUR,2.78,2.92,2.63,2.80,26/01/2024 17:35,CET,84042,233831.12,2.80,26/01/2024
3D SYSTEMS CORP,US88554D2053,4DDD,EuroTLX,EUR,4.728,4.728,4.728,4.728,26/01/2024 13:46,CET,1400,6619.20,4.714,26/01/2024
3D SYSTEMS CORP,US88554D2053,1DDD,Euronext Global Equity Market,EUR,4.77,4.77,4.77,4.77,26/01/2024 15:38,CET,420,2003.40,4.716,26/01/2024
3D SYSTEMS CORP,US88554D2053,2DDD,Trading After Hours,EUR,4.27,4.27,4.27,4.27,17/01/2024 19:12,CET,60,256.20,4.716,26/01/2024
3M,US88579Y1010,4MMM,EuroTLX,EUR,87.00,87.00,85.80,86.86,25/01/2024 11:39,CET,105,9083.50,88.62,26/01/2024
3M,US88579Y1010,1MMM,Euronext Global Equity Market,EUR,88.70,88.70,88.70,88.70,26/01/2024 13:57,CET,12,1064.40,88.65,26/01/2024
3M,US88579Y1010,2MMM,Trading After Hours,EUR,88.04,88.04,88.04,88.04,23/01/2024 19:40,CET,120,10564.80,88.65,26/01/2024
4AIM SICAF,IT0005204729,AIM,Euronext Growth Milan,EUR,298.00,319.95,290.95,319.95,26/01/2024 17:09,CET,450,139017.60,319.95,26/01/2024
4AIM SICAF COMP 2,IT0005440323,AIM2,Euronext Growth Milan,EUR,270.00,270.00,270.00,270.00,25/01/2024 15:28,CET,2,540.00,270.00,26/01/2024
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo,NOK,1.77,1.876,1.76,1.836,26/01/2024 16:25,CET,50879,91289.944,1.836,26/01/2024
A.B.P. NOCIVELLI,IT0005439861,ABP,Euronext Growth Milan,EUR,4.10,4.10,4.10,4.10,25/01/2024 12:34,CET,500,2050.00,4.10,26/01/2024
A.S.T. GROUPE,FR0000076887,ALAST,Euronext Growth Paris,EUR,1.28,1.335,1.275,1.33,26/01/2024 17:35,CET,21951,28533.58,1.33,26/01/2024
A2A,IT0001233417,A2A,Euronext Milan,EUR,1.7925,1.798,1.7785,1.7875,26/01/2024 17:35,CET,12364739,22106219.6235,1.7875,26/01/2024
A2A,IT0001233417,2A2A,Trading After Hours,EUR,1.794,1.794,1.794,1.794,26/01/2024 19:22,CET,1000,1794.00,1.794,26/01/2024
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,37.27,37.81,36.95,37.42,26/01/2024 17:35,CET,144439,5409757.03,37.42,26/01/2024
AALBERTS NV,NL0000852564,2AALB,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,37.42,26/01/2024
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo,NOK,127.00,127.00,127.00,127.00,26/01/2024 09:52,CET,40,5080.00,127.00,26/01/2024
AATECH,IT0005548521,AAT,Euronext Growth Milan,EUR,1.42,1.44,1.40,1.44,23/01/2024 17:26,CET,15000,21270.00,1.44,26/01/2024
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,57.34,57.48,56.66,57.20,26/01/2024 17:35,CET,1692511,96661967.63,57.20,26/01/2024
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,3.81,4.00,3.77,3.85,26/01/2024 17:35,CET,259742,1003949.65,3.85,26/01/2024
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR,47.70,47.70,47.70,47.70,24/01/2017 11:30,CET,500,23850.00,47.80,26/01/2024
ABBVIE,US00287Y1091,1ABBV,Euronext Global Equity Market,EUR,153.20,153.20,152.50,152.50,26/01/2024 14:13,CET,5,763.90,150.70,26/01/2024
ABBVIE,US00287Y1091,4ABBV,EuroTLX,EUR,152.00,152.00,152.00,152.00,25/01/2024 15:44,CET,26,3952.00,150.70,26/01/2024
ABBVIE,US00287Y1091,2ABBV,Trading After Hours,EUR,131.70,131.70,131.70,131.70,01/12/2023 18:58,CET,20,2634.00,150.70,26/01/2024
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,4.435,4.48,4.42,4.435,26/01/2024 17:35,CET,39705,176514.755,4.435,26/01/2024
ABC COMPANY,IT0005466294,ABC,Euronext Growth Milan,EUR,3.70,3.70,3.70,3.70,23/08/2023 17:35,CET,1500,5550.00,3.70,26/01/2024
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,14.90,14.90,13.50,14.60,26/01/2024 17:36,CET,3068,43714.35,14.60,26/01/2024
ABG SUNDAL COLLIER,NO0003021909,ABG,Oslo Børs,NOK,6.47,6.49,6.30,6.39,26/01/2024 16:25,CET,103898,660075.52,6.39,26/01/2024
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,1.23,1.256,1.23,1.25,26/01/2024 17:35,CET,15551,19215.692,1.25,26/01/2024
ABITARE IN,IT0005445280,ABT,Euronext Milan,EUR,4.89,4.92,4.85,4.87,26/01/2024 17:35,CET,11338,55284.54,4.87,26/01/2024
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,11.08,11.70,10.90,11.62,26/01/2024 17:36,CET,37050,420751.42,11.62,26/01/2024
ABL Diagnostics,FR001400AHX6,ABLD,Euronext Paris,EUR,9.70,9.70,9.70,9.70,13/10/2023 11:30,CET,15,145.50,9.70,26/01/2024
ABL GROUP,NO0010715394,ABL,Oslo Børs,NOK,12.95,13.20,12.80,12.90,26/01/2024 16:25,CET,45559,597022.00,12.90,26/01/2024
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,13.675,14.055,13.675,13.90,26/01/2024 17:35,CET,4171418,58073491.095,13.90,26/01/2024
ABO GROUP,BE0974278104,ABO,"Euronext Brussels, Paris",EUR,5.90,5.90,5.80,5.80,25/01/2024 17:35,CET,165,958.50,5.80,26/01/2024
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.392,0.394,0.382,0.394,26/01/2024 15:55,CET,9236,3592.558,0.394,26/01/2024
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.0274,0.0282,0.0274,0.0282,26/01/2024 12:46,CET,438563,12231.3714,0.0282,26/01/2024
ACCOR,FR0000120404,AC,Euronext Paris,EUR,36.64,37.33,36.54,37.02,26/01/2024 17:37,CET,826841,30640109.72,37.02,26/01/2024
ACCOR,FR0000120404,2AC,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,37.02,26/01/2024
ACCOR,FR0000120404,4AC,EuroTLX,EUR,35.30,35.30,35.30,35.30,11/01/2024 10:10,CET,67,2365.10,37.20,26/01/2024
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,0.714,0.725,0.702,0.724,26/01/2024 17:35,CET,341649,243771.122,0.724,26/01/2024
